manufacturer_sku,ean13,weight,length,width,height,prop_65,cost_price,min_price,made_to_order,product__product_class__name,product__brand__name,product__title,product__description,product__bullets__0,product__bullets__1,product__bullets__2,product__bullets__3,product__bullets__4,product__bullets__5,product__bullets__6,product__configuration__codes,product__multipack_quantity,product__country_of_origin__alpha_3,product__parent_sku,attrib__arm_height,attrib__assembly_required,attrib__back_material,attrib__blade_finish,attrib__bulb_included,attrib__bulb_type,attrib__color,attrib__cord_length,attrib__design_id,attrib__designer,attrib__distressed_finish,attrib__fill,attrib__finish,attrib__frame_color,attrib__hardwire,attrib__kit,attrib__leg_color,attrib__leg_finish,attrib__material,attrib__number_bulbs,attrib__orientation,attrib__outdoor_safe,attrib__pile_height,attrib__seat_depth,attrib__seat_height,attrib__seat_width,attrib__shade,attrib__size,attrib__switch_type,attrib__ul_certified,attrib__warranty_years,attrib__wattage,attrib__weave,attrib__weight_capacity,boxes__0__weight,boxes__0__length,boxes__0__height,boxes__0__width,boxes__1__weight,boxes__1__length,boxes__1__height,boxes__1__width,boxes__2__weight,boxes__2__length,boxes__2__height,boxes__2__width,product__styles
D3568,081-800803812-9,14.0,24.0,24.0,23.0,True,534.0,961.2,,Indoor Lighting,Dimond Lighting,Ice Geist Pendant,,,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Clear Crystal, Polished Nickel",,,,,,"Crystal, Metal",6.0,,No,,,,,,,,UL,,60.0,,,16.0,23.1,15.0,15.0,,,,,,,,,Modern / Contemporary
D3569,081-800803813-6,7.0,7.0,24.0,24.0,True,179.0,322.2,,Indoor Lighting,Dimond Lighting,Ice Geist Wall Sconce,,,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Clear Crystal, Polished Nickel",,,,,,"Crystal, Metal",3.0,,No,,,,,,,,UL,,60.0,,,10.0,21.8,14.0,16.0,,,,,,,,,Modern / Contemporary
D3570,081-800803826-6,4.0,7.0,14.0,21.0,True,99.0,178.2,,Indoor Lighting,Dimond Lighting,Orion Two Light Sconce,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,"Antique Gold Leaf, Oil Rubbed Bronze",,,,,,Metal,2.0,,No,,,,,,,,UL,,60.0,,,22.0,23.0,10.0,16.0,,,,,,,,,Modern / Contemporary
D3571,081-800803827-3,11.0,21.0,21.0,20.0,True,229.0,412.2,,Indoor Lighting,Dimond Lighting,Lucy Spike Four Light Pendant,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,"Antique Gold, Weathered Zinc",,,,,,Metal,4.0,,No,,,,,,,,UL,,60.0,,,25.0,22.0,22.0,21.4,,,,,,,,,Modern / Contemporary
D3572,081-800803828-0,9.0,18.5,18.5,14.0,True,213.0,383.4,,Indoor Lighting,Dimond Lighting,Lucy Spike Flush Mount,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,"Antique Gold, Weathered Zinc",,,,,,Metal,4.0,,No,,,,,,,,UL,,60.0,,,18.0,21.0,21.0,16.5,,,,,,,,,Modern / Contemporary
D3573,081-800803829-7,14.0,30.0,30.0,48.0,True,320.0,576.0,,Indoor Lighting,Dimond Lighting,Nico Eight Light Chandelier,,,,,,,,,,1.0,CHN,,,,,,No,B11,,,,,,,"Antique Gold Leaf, Oil Rubbed Bronze",,,,,,Metal,8.0,,No,,,,,,,,UL,,,,,50.0,50.0,29.0,29.0,,,,,,,,,Traditional
D3575,084-355815904-8,2.2,7.0,7.0,22.8,True,35.0,63.0,,Indoor Lighting,Dimond Lighting,Lunar Mod Table Lamp,,,,,,,,,,1.0,CHN,,,,,,,LED,,,,,,,Nickel,,,No,,,"METAL, ACRYLIC",1.0,,No,,,,,,,On-Off Line Switch,,,,,,2.65,7.9,24.0,7.9,,,,,,,,,Modern / Contemporary
D3576,084-355815905-5,8.7,9.05,14.2,59.0,True,65.0,117.0,,Indoor Lighting,Dimond Lighting,Envoy Floor Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A19,,,,,,,Light Grey,,,No,,,METAL,1.0,,No,,,,,,,On-Off Foot Switch,,,,,,13.0,13.0,21.0,9.0,,,,,,,,,Transitional
D3579,084-355815958-1,13.0,9.5,15.0,65.0,True,80.0,144.0,,Indoor Lighting,Dimond Lighting,Town and Country Floor Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A19,,72.0,,,,,"Bronze Metal, White Marble",,,No,,,"METAL, MARBLE",1.0,,No,,,,,,,On-Off Foot Switch,,,,,,16.0,24.0,12.0,16.0,,,,,,,,,Transitional
D3580,084-355815920-8,7.0,14.0,14.0,29.0,True,80.0,144.0,,Indoor Lighting,Dimond Lighting,Savile RowTable Lamp,,,,,,,,,,1.0,CHN,,,,,,No,A21 3-Way,,66.0,,,,,Dark Bronze,,,No,,,METAL,1.0,,No,,,,,,,3-Way,,,,,,9.0,16.0,21.0,16.0,,,,,,,,,Transitional
